index,/gantry/pitch/target,/gantry/pitch/measurement,/gantry/pitch/control_velocity,/gantry/imu/roll,/gantry/imu/pitch,/gantry/imu/yaw,/dart/left_motor/angle,/dart/left_motor/velocity,/dart/left_motor/control_velocity,/dart/left_motor/torque,/dart/left_motor/control_torque,/dart/right_motor/angle,/dart/right_motor/velocity,/dart/right_motor/control_velocity,/dart/right_motor/torque,/dart/right_motor/control_torque,/dart/up_motor/angle,/dart/up_motor/velocity,/dart/up_motor/control_velocity,/dart/up_motor/torque,/dart/up_motor/control_torque
14678,2.58925,2.59003,-7.89489,2.59003,-0.0587586,0.170005,-260.555,-7.76672,-7.91177,-0.104041,-0.0393501,-260.712,-7.662,-7.87801,-0.107886,-0.0603792,0.0201761,-0,0,0.00109863,0
14679,2.58922,2.58999,-7.71488,2.58999,-0.058753,0.170039,-260.584,-7.09476,-7.7324,-0.0942627,-0.18,-260.748,-7.60673,-7.69737,-0.0142822,-0.0202478,0.0201761,-0,0,0.00406494,0
14680,2.5892,2.58998,-7.81709,2.58998,-0.0587421,0.170053,-260.629,-7.78999,-7.83373,-0.0928345,-0.00903607,-260.784,-7.0744,-7.80045,-0.1604,-0.18,0.0201761,-0,0,0.00109863,0
14681,2.58917,2.58993,-7.62223,2.58993,-0.0587436,0.170084,-260.666,-7.49037,-7.63883,-0.089978,-0.0410481,-260.82,-6.92605,-7.60562,-0.143372,-0.18,0.0201761,-0,0,-0.00109863,0
14682,2.58915,2.58989,-7.40847,2.58989,-0.0587347,0.170069,-260.703,-7.534,-7.42496,-0.0901978,0.0355368,-260.856,-7.89471,-7.39198,-0.166882,0.152473,0.0201761,-0,0,-0.00900879,0
14683,2.58912,2.58987,-7.46391,2.58987,-0.0587319,0.170093,-260.739,-7.08604,-7.48032,-0.0992065,-0.123779,-260.891,-6.43445,-7.44749,-0.0663574,-0.18,0.0201761,-0,0,-0.00406494,0
14684,2.5891,2.58985,-7.5048,2.58985,-0.0587959,0.17009,-260.774,-6.87369,-7.52128,-0.139966,-0.18,-260.927,-7.47874,-7.48833,-0.0754761,0.00641017,0.0201761,-0,0,0.00109863,0
14685,2.58907,2.58985,-7.82648,2.58985,-0.0588048,0.170117,-260.808,-6.83006,-7.84275,-0.129639,-0.18,-260.959,-6.7137,-7.81021,-0.130408,-0.18,0.0201761,-0,0,0.00406494,0
14686,2.58905,2.58979,-7.44087,2.58979,-0.058814,0.170094,-260.843,-7.18203,-7.45702,-0.146558,-0.0774734,-260.993,-6.48972,-7.42472,-0.142273,-0.18,0.0201761,-0,0,0.00109863,0
14687,2.58902,2.58979,-7.64916,2.58979,-0.0588457,0.170114,-260.879,-7.43801,-7.66532,-0.0945923,-0.0647257,-261.029,-6.67007,-7.633,-0.106787,-0.18,0.0201761,-0,0,0.00109863,0
14688,2.589,2.58976,-7.66423,2.58976,-0.0588091,0.170137,-260.915,-7.26639,-7.68039,-0.141174,-0.122962,-261.065,-7.26639,-7.64807,-0.0124146,-0.109354,0.0201761,-0,0,0.00109863,0
14689,2.58897,2.58974,-7.6383,2.58974,-0.0588249,0.170167,-260.952,-7.41474,-7.65444,-0.16106,-0.0699436,-261.101,-7.97034,-7.62215,-0.125134,0.120782,0.0201761,-0,0,-0.00406494,0
14690,2.58895,2.58972,-7.71957,2.58972,-0.0588388,0.170181,-260.987,-6.99004,-7.73563,-0.132495,-0.18,-261.136,-7.49037,-7.70352,-0.0600952,-0.0589064,0.0201761,-0,0,-0.00406494,0
14691,2.58892,2.58968,-7.54254,2.58968,-0.0588281,0.170175,-261.023,-6.94641,-7.55858,-0.147766,-0.18,-261.171,-7.05404,-7.5265,-0.100964,-0.143582,0.0201761,-0,0,0.00406494,0
14692,2.5889,2.58967,-7.76746,2.58967,-0.0588614,0.17019,-261.058,-6.97841,-7.78348,-0.123047,-0.18,-261.207,-6.69043,-7.75143,-0.139526,-0.18,0.0201761,-0,0,0.00109863,0
14693,2.58887,2.58965,-7.8345,2.58965,-0.0588647,0.170217,-261.095,-7.22275,-7.85044,-0.0717407,-0.18,-261.242,-6.65843,-7.81856,-0.149414,-0.18,0.0201761,-0,0,-0.00406494,0
